bauwerksnummer,teilbauwerk,bauwerksname,ort,strasse_oben_uef,strasse_unten_uf,von_nk,nach_nk
5024519,0,UF B 83 und DB bei Bebra,Bebra,B 27,B 83,5024027O,5024028O
4825501,0,UF Ulfe bei Wichmannshausen,Wichmannshausen,B 27,,4825032O,4825002O
5617584,0,Dittenbachdurchlass,Wernborn,B 275,,5617022O,5617023O
5917726,1,UF K807 + Main + K808 - Mainbrücke Schwanheim-/Überbau FR Schwanheim/Kelsterbach,Ffm-Schwanheim,B 40,K 807,5917072O,5917073O
5917726,2,UF K807 + Main + K808 - Mainbrücke Schwanheim-/Überbau FR Frankfurt,Ffm-Schwanheim,B 40,K 807,5917072O,5917073O
6013504,1,UF Gehweg,bei Rüdesheim,B 42,Gehweg,6013011O,6013001O
6013926,B,UF Engergraben/B42,Rüdesheim am Rhein / Rüdesheim,B 42,,6013011O,6013001O
5021517,0,UF DB,Leimsfeld,B 254,,5021053O,5021012O
5122504,1,UF Buchenbach,Asterode,B 454,,5122017O,5122018O
5123505,0,UF Kisselbach in Heddersdorf,Heddersdorf,B 454,,5123013O,5123012O
5122507,0,UF Urbach,Neukirchen,B 454,,5122015O,5122014O
6317630,0,LAENGSVERDOLUNG STADTBACH,Heppenheim,B 460,,6317063O,6318066O
6317632,0,UF STADTBACH HEPPENHEIM (B 460)/UF Stadtbach Heppenheim - Ost oben,64646 Heppenheim,B 460,,6317063O,6318066O
6317628,0,UF STADTBACH/UF Stadtbach Heppenheim - West unten,Heppenheim,B 460,,6317063O,6318066O
5916577,0,UF L3011 + DB Rheingaubrücke,Hofheim,B 519,L 3011,5916089O,5916043O
6316552,C,NIBELUNGENBR. WORMS (B 47)/Vorlandbrücke Hessen,67547 Worms,B 47,,6316009,6316018
5416516,0,"UF DB, L 3052 u. Lahn",Leun,B 49,L 3052,5416032O,5416036O
5416564,0,UF B 277,Wetzlar,B 49,B 277,5416033O,5417054O
5417515,0,"Lahnbrücke am Taubenstein,UF Lahn,L 3020,Stadtstr./UF Lahn, L 3020 u. Stadtstrasse ""Taubenstein""",Wetzlar,B 49,L 3020,5417054O,5417008O
5417540,0,UF DB,Dorlar,B 49,,5417006O,5417056O
5415555,0,UF Gemeindestrasse,Biskirchen,B 49,Gemeindestr.,5415040O,5415039O
5417516,0,UF L 3020,Garbenheim,B 49 (Ast),L 3020,5417008A,5417008B
5417562,1+2,"UF Lahn,Eselswiese FR Klein-Linden",Giessen/West,B 429,,5417056A,5417057O
5125513,0,UF Ulster bei Philippsthal,Philippstal,B 62,,5125008O,5125007O
5614505,1,UF Lahn/Ri.FB Limburg nach Elz,Limburg,B8,Gemeindestr.,5614051O,5614057O
5614505,2,UF Lahn/Ri.FB von Elz nach Limburg,Limburg,B8,Gemeindestr.,5614051O,5614057O
5818616,B,UF Kilianstädterstraße -Mainkur-/UF B8 und DB,Fechenheim,B 8 (Ast),B8,5818093B,5818093G
5814509,0,UF Aarbach,in Adolfseck,B 54,,5814046O,5814027O
4822582,0,UF L 3223,Gensungen,L 3220,L 3223,4822016O,4822084O
5520513,0,UF ECKARDSBACH in Eichelsachsen/UF ECKARDSBACH,Schotten/Eichelsachsen,L 3183,,5520022O,5520023O
5813507,0,UF Gladbach,bei Geroldstein,L 3033,,5813035O,5813041O
5814524,0,UF Dornbach,Bad Schwalbach / Ramschied,L 3033,,5814015O,5814014O
5317510,0,UF Bieber,Fellingshausen,L 3474,,5317008O,5317011O
5223519,0,UF Aula in Niederaula,Niederaula,L 3471,,5223017O,5123006O
5224511,0,UEF L 3433,Burghaun,L 3433,B27,5324035O,5224019O
6418741,0,UF LIEBERSBACH IN BIRKENAU/UF LIEBERSBACH,Birkenau,L 3408,,6418017O,6418215O
4923641,0,UF K 34 und Lingelbach,Rengshausen,L 3465,K 34,4922016L,4923028O
4921514,0,UF DB,Borken,L 3384,,4921042O,4921029O
5623542,0,UF ELMBACH bei Elm/UF ELMBACH,Schlüchtern/Elm,L 3329,,5623030O,5623029O
5714512,0,UF Lahnerbach,bei Burg Hohenstein,L 3321,,5713008O,5714024O
4826536,0,UF Schlierbach (Forsthaus),Oberdünzebach,L 3300,,4826009O,4826020O
4722570,0,UF KVG & Zufahrt VW Parkplatz,Altenbauna,L 3311,G+R,4722059C,4722064G
5325524,0,UF Naesse,Hofbieber,L 3258,WiWeg,5425047O,5325012O
5126504,0,UF Werra in Heringen/UF Werra,Heringen,L 3255,,5125014O,5126003O
5126503,0,UF Flutgraben in Heringen/UF Flutgraben,Heringen,L 3255,,5125014O,5126003O
